"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"1864 Ljusnarsberg","L fastighetsverksamhet","kvinnor",4,4,7,2,2,0,2,2,2,2,3
"1864 Ljusnarsberg","M+N företagstjänster","män",56,38,36,58,60,62,60,59,45,34,39
"1864 Ljusnarsberg","M+N företagstjänster","kvinnor",34,25,31,47,50,52,41,41,33,22,24
"1864 Ljusnarsberg","O offentlig förvaltning och försvar","män",20,13,14,19,19,19,13,12,19,17,20
"1864 Ljusnarsberg","O offentlig förvaltning och försvar","kvinnor",31,27,24,32,43,34,30,25,27,27,26
"1864 Ljusnarsberg","P utbildning ","män",28,22,26,34,36,38,47,49,56,53,69
"1864 Ljusnarsberg","P utbildning ","kvinnor",117,98,98,94,98,101,105,116,125,144,148
"1864 Ljusnarsberg","Q vård och omsorg; sociala tjänster","män",58,58,60,55,49,51,55,64,57,75,81
"1864 Ljusnarsberg","Q vård och omsorg; sociala tjänster","kvinnor",331,332,336,312,300,288,318,337,340,333,340
"1864 Ljusnarsberg","R+S+T+U kulturella och personliga tjänster m.m.","män",22,24,28,22,19,24,30,30,35,34,28
"1864 Ljusnarsberg","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",29,31,33,29,28,32,30,32,38,32,32
"1864 Ljusnarsberg","00 okänd verksamhet","män",27,18,13,25,20,30,30,31,28,35,17
"1864 Ljusnarsberg","00 okänd verksamhet","kvinnor",22,24,23,29,22,21,21,20,29,32,12
"1880 Örebro","A jordbruk, skogsbruk och fiske","män",667,631,669,766,739,746,749,741,722,713,670
"1880 Örebro","A jordbruk, skogsbruk och fiske","kvinnor",139,130,143,196,195,207,204,189,168,189,183
"1880 Örebro","B+C tillverkning och utvinning","män",5548,4799,4789,5145,5087,4902,4734,4749,4871,4876,5113
